iter	Passed	Remaining
965	48511	11751
966	48558	11700
967	48606	11649
968	48655	11599
969	48703	11548
970	48752	11497
971	48803	11447
972	48851	11397
973	48897	11345
974	48945	11295
975	48993	11244
976	49041	11193
977	49090	11143
978	49138	11092
979	49187	11042
980	49234	10991
981	49282	10940
982	49330	10889
983	49380	10839
984	49427	10788
985	49476	10738
986	49523	10687
987	49580	10638
988	49630	10588
989	49684	10539
990	49736	10489
991	49784	10438
992	49836	10388
993	49887	10338
994	49935	10288
995	49981	10237
996	50031	10187
997	50083	10137
998	50138	10087
999	50184	10036
1000	50239	9987
1001	50288	9937
1002	50341	9887
1003	50395	9838
1004	50451	9789
1005	50502	9739
1006	50552	9688
1007	50600	9638
1008	50652	9588
1009	50701	9537
1010	50749	9487
1011	50798	9436
1012	50848	9386
1013	50895	9335
1014	50943	9285
1015	50991	9234
1016	51041	9184
1017	51090	9133
1018	51139	9083
1019	51189	9033
1020	51237	8982
1021	51287	8932
1022	51335	8882
1023	51382	8831
1024	51430	8780
1025	51477	8730
1026	51525	8679
1027	51577	8629
1028	51627	8579
1029	51676	8529
1030	51725	8478
1031	51775	8428
1032	51825	8378
1033	51874	8327
1034	51921	8277
1035	51971	8227
1036	52024	8177
1037	52074	8127
1038	52125	8077
1039	52173	8026
1040	52220	7976
1041	52269	7925
1042	52322	7875
1043	52370	7825
1044	52420	7775
1045	52468	7724
1046	52518	7674
1047	52567	7624
1048	52619	7574
1049	52671	7524
1050	52720	7474
1051	52771	7424
1052	52819	7373
1053	52868	7323
1054	52916	7272
1055	52967	7222
1056	53019	7172
1057	53068	7122
1058	53117	7072
1059	53168	7022
1060	53217	6971
1061	53266	6921
1062	53316	6871
1063	53367	6821
1064	53418	6771
1065	53466	6720
1066	53518	6671
1067	53565	6620
1068	53621	6570
1069	53672	6520
1070	53719	6470
1071	53768	6420
1072	53822	6370
1073	53876	6320
1074	53925	6270
1075	53973	6219
1076	54021	6169
1077	54068	6119
1078	54121	6069
1079	54171	6019
1080	54220	5968
1081	54273	5918
1082	54328	5869
1083	54383	5819
1084	54436	5769
1085	54487	5719
1086	54540	5669
1087	54588	5619
1088	54638	5569
1089	54692	5519
1090	54745	5469
1091	54799	5419
1092	54853	5369
1093	54901	5319
1094	54954	5269
1095	55004	5219
1096	55051	5168
1097	55101	5118
1098	55150	5068
1099	55202	5018
1100	55252	4968
1101	55301	4917
1102	55353	4867
1103	55402	4817
1104	55453	4767
1105	55506	4717
1106	55560	4667
1107	55613	4617
1108	55664	4567
1109	55714	4517
1110	55763	4467
1111	55815	4417
1112	55863	4366
1113	55914	4316
1114	55968	4266
1115	56021	4216
1116	56075	4166
1117	56129	4116
1118	56177	4066
1119	56230	4016
1120	56280	3966
1121	56333	3916
1122	56385	3866
1123	56438	3816
1124	56487	3765
1125	56540	3715
1126	56587	3665
1127	56640	3615
1128	56693	3565
1129	56748	3515
1130	56800	3465
1131	56846	3414
1132	56896	3364
1133	56947	3314
1134	57001	3264
1135	57054	3214
1136	57108	3164
1137	57161	3114
1138	57210	3063
1139	57263	3013
1140	57316	2963
1141	57367	2913
1142	57419	2863
1143	57472	2813
1144	57525	2763
1145	57579	2713
1146	57626	2662
1147	57677	2612
1148	57727	2562
1149	57779	2512
1150	57831	2461
1151	57884	2411
1152	57934	2361
1153	57986	2311
1154	58033	2261
1155	58085	2210
1156	58139	2160
1157	58191	2110
1158	58240	2060
1159	58292	2010
1160	58341	1959
1161	58393	1909
1162	58444	1859
1163	58495	1809
1164	58548	1758
1165	58599	1708
1166	58649	1658
1167	58702	1608
1168	58749	1557
1169	58796	1507
1170	58849	1457
1171	58902	1407
1172	58956	1357
1173	59003	1306
1174	59055	1256
1175	59108	1206
1176	59156	1155
1177	59207	1105
1178	59255	1055
1179	59303	1005
1180	59352	954
1181	59405	904
1182	59455	854
1183	59506	804
1184	59554	753
1185	59607	703
1186	59659	653
1187	59710	603
1188	59757	552
1189	59810	502
1190	59856	452
1191	59907	402
1192	59955	351
1193	60003	301
1194	60051	251
1195	60103	201
1196	60152	150
1197	60201	100
1198	60250	50
1199	60302	0
